age,workclass,education_num,marital.status,occupation,relationship,race,sex,capital.gain,capital_loss,hours_per_week,income
37,6,16,4,10,1,4,0,0,2559,60,1
54,4,14,0,10,1,4,0,0,2559,40,1
44,4,13,0,4,4,4,1,0,2547,50,1
43,4,14,0,4,4,4,0,0,2547,40,1
51,4,10,0,1,4,4,0,0,2547,40,1
43,4,14,0,10,4,4,0,0,2547,40,1
71,0,9,2,0,0,4,1,0,2489,15,0
48,4,13,3,12,4,4,0,0,2472,70,1
71,4,9,2,12,0,4,1,0,2467,52,0
73,6,9,2,5,0,1,1,0,2457,40,0
68,0,10,2,0,5,4,0,0,2457,40,0
67,0,10,2,0,0,4,1,0,2457,40,0
40,6,15,4,10,1,4,1,0,2444,45,1
50,4,9,6,12,1,4,0,0,2444,72,1
51,7,11,0,13,1,4,1,0,2444,39,1
42,4,10,4,4,1,4,0,0,2444,40,1
39,4,14,4,12,1,4,1,0,2444,45,1
32,4,13,4,4,2,4,1,0,2444,50,1
53,4,10,5,3,1,4,1,0,2444,45,1
40,2,10,4,11,1,4,1,0,2444,40,1
38,4,13,4,12,1,4,0,0,2444,45,1
33,4,11,5,3,1,4,1,0,2444,42,1
43,4,12,0,3,1,4,1,0,2444,70,1
50,5,7,4,4,2,4,1,0,2444,40,1
44,4,10,2,1,5,4,0,0,2415,6,1
51,6,13,2,12,0,1,1,0,2415,40,1
41,4,15,2,10,0,4,1,0,2415,40,1
60,5,11,2,7,0,4,1,0,2415,70,1
37,4,14,2,4,0,4,1,0,2415,60,1
55,5,15,2,10,0,4,1,0,2415,35,1
39,5,13,2,12,0,4,1,0,2415,60,1
42,5,15,2,10,0,4,1,0,2415,60,1
49,4,13,2,12,0,4,1,0,2415,55,1
47,6,9,2,4,0,4,1,0,2415,50,1
41,2,15,2,10,0,4,1,0,2415,45,1
55,5,13,2,4,0,4,1,0,2415,50,1
39,4,14,2,4,5,4,0,0,2415,65,1
42,4,13,2,4,0,4,1,0,2415,60,1
41,0,11,2,0,0,4,1,0,2415,12,1
46,4,14,2,12,0,4,1,0,2415,65,1
40,4,14,2,4,0,4,1,0,2415,45,1
32,4,13,2,10,0,4,1,0,2415,48,1
41,5,10,2,4,0,4,1,0,2415,55,1
60,5,15,2,10,0,4,1,0,2415,80,1
31,4,14,2,4,0,4,1,0,2415,70,1
58,6,10,2,5,0,4,1,0,2415,40,1
37,5,13,2,12,0,4,1,0,2415,50,1
44,6,13,2,4,0,4,1,0,2415,50,1
39,6,15,2,10,0,4,1,0,2415,50,1
43,1,15,2,10,0,1,1,0,2415,55,1
55,5,13,2,4,0,4,1,0,2415,50,1
44,5,14,2,10,0,4,1,0,2415,55,1
39,4,15,2,10,0,1,1,0,2415,67,1
46,6,13,2,12,0,4,1,0,2415,40,1
39,4,10,2,5,0,4,1,0,2415,99,1
62,5,13,2,5,0,4,1,0,2415,60,1
31,6,9,2,8,5,4,0,0,2415,40,1
46,4,13,2,1,0,1,1,0,2415,35,1
46,6,15,2,10,0,4,1,0,2415,80,1
39,5,11,2,3,0,4,1,0,2415,40,1
39,4,15,2,12,0,4,1,0,2415,99,1
59,4,16,2,10,0,4,1,0,2415,45,1
50,5,15,2,10,0,4,1,0,2415,60,1
46,4,16,2,10,0,4,1,0,2415,55,1
53,6,13,2,4,0,4,1,0,2415,40,1
50,6,15,2,10,0,4,1,0,2415,30,1
41,5,15,2,4,5,4,0,0,2415,55,1
36,4,13,2,12,0,4,1,0,2415,45,1
38,4,15,2,10,0,4,1,0,2415,90,1
54,4,10,2,12,0,4,1,0,2415,50,1
50,4,13,2,4,5,4,0,0,2415,20,1
47,4,13,2,4,0,4,1,0,2415,60,1
47,5,15,2,10,0,4,1,0,2415,45,1
67,4,13,6,4,1,4,1,0,2392,40,1
67,5,13,2,4,0,4,1,0,2392,75,1
72,6,16,2,10,0,4,1,0,2392,25,1
72,0,16,2,0,0,4,1,0,2392,6,1
46,5,14,2,4,0,4,1,0,2392,50,1
78,5,13,2,4,0,4,1,0,2392,40,1
71,5,13,2,4,0,4,1,0,2392,60,1
83,5,13,2,4,0,4,1,0,2392,55,1
68,4,14,2,4,0,4,1,0,2392,40,1
26,4,11,2,1,0,4,1,0,2377,45,0
68,7,16,2,10,0,4,1,0,2377,60,1
49,5,9,2,1,5,4,0,0,2377,40,1
36,4,9,2,10,0,4,1,0,2377,60,0
70,6,13,2,3,0,4,1,0,2377,12,1
27,4,10,2,1,5,2,0,0,2377,20,0
35,2,10,2,4,0,4,1,0,2377,40,0
23,4,9,2,12,0,4,1,0,2377,40,0
81,4,9,2,4,0,4,1,0,2377,26,1
66,6,16,2,12,0,4,1,0,2377,25,1
71,4,9,2,4,0,4,1,0,2377,45,1
68,4,10,2,12,0,4,1,0,2377,55,1
68,7,14,2,10,0,4,1,0,2377,42,1
65,0,13,2,0,0,4,1,0,2377,40,1
52,4,9,2,12,0,2,1,0,2377,40,0
40,5,12,2,3,0,4,1,0,2377,50,0
68,0,13,2,0,0,4,1,0,2377,35,1
21,4,10,2,4,0,4,1,0,2377,48,0
35,4,9,2,3,0,4,1,0,2377,40,0
70,5,13,2,4,0,4,1,0,2377,50,1
61,6,9,2,5,0,4,1,0,2352,50,0
65,5,9,2,5,0,4,1,0,2352,65,0
46,4,3,0,3,1,4,0,0,2339,45,0
26,2,13,4,10,1,4,1,0,2339,55,0
59,2,9,6,5,4,4,1,0,2339,40,0
61,4,3,4,6,1,2,1,0,2339,40,0
60,7,13,0,10,1,4,0,0,2339,40,0
49,5,10,0,4,1,4,1,0,2339,50,0
34,4,13,3,7,1,1,1,0,2339,40,0
25,4,13,4,10,3,4,0,0,2339,35,0
55,4,10,4,1,1,2,0,0,2339,45,0
59,2,9,5,11,2,2,0,0,2339,40,0
28,7,10,5,4,3,4,1,0,2339,40,0
43,0,11,6,0,1,4,0,0,2339,36,0
56,6,14,0,12,4,4,0,0,2339,60,0
41,4,9,0,3,1,4,1,0,2339,40,0
42,4,9,4,1,2,2,0,0,2339,40,0
28,4,15,4,10,1,4,1,0,2339,40,0
40,6,15,0,8,1,4,0,0,2339,35,0
69,4,13,6,10,1,4,1,0,2282,40,1
66,2,9,2,3,0,4,1,0,2267,40,0
69,4,3,2,7,0,4,1,0,2267,40,0
55,2,14,2,10,5,4,0,0,2267,40,0
57,1,9,4,1,1,4,1,0,2258,40,0
20,6,10,4,5,3,4,1,0,2258,10,0
33,4,9,0,3,1,4,1,0,2258,84,0
30,6,10,4,12,2,1,1,0,2258,40,0
40,4,13,4,13,1,1,0,0,2258,48,0
38,4,10,5,7,1,4,1,0,2258,55,1
46,7,12,0,1,4,4,1,0,2258,38,1
29,4,13,4,4,1,4,0,0,2258,45,1
57,1,13,4,1,1,4,1,0,2258,40,0
39,4,9,4,3,3,4,1,0,2258,42,1
47,4,13,0,4,1,4,1,0,2258,40,1
26,4,13,4,4,1,4,1,0,2258,45,1
27,6,9,4,3,1,4,1,0,2258,50,0
23,4,13,4,10,3,4,0,0,2258,40,1
34,4,14,4,10,1,4,1,0,2258,50,0
33,4,8,0,3,1,4,1,0,2258,42,0
38,2,14,4,10,1,4,0,0,2258,60,0
57,4,10,6,1,4,4,0,0,2258,38,1
36,4,9,4,4,1,4,1,0,2258,70,0
44,1,13,0,13,1,4,1,0,2258,40,1
49,7,16,4,4,1,4,0,0,2258,50,1
44,5,10,4,12,1,4,1,0,2258,60,0
55,4,10,6,5,1,4,1,0,2258,62,1
45,4,9,0,5,1,4,1,0,2258,44,1
48,4,9,0,4,1,4,0,0,2258,40,1
31,4,13,2,4,0,4,1,0,2246,45,1
55,2,9,2,10,2,4,0,0,2246,40,1
70,6,10,2,4,0,4,1,0,2246,40,1
70,6,14,2,4,0,4,1,0,2246,8,1
73,4,13,2,10,0,4,1,0,2246,40,1
72,6,15,2,10,0,4,1,0,2246,28,1
31,4,9,5,7,4,4,0,0,2238,40,0
28,4,6,6,1,4,4,0,0,2238,35,0
23,6,13,4,1,3,4,1,0,2231,40,1
49,2,5,6,6,4,4,1,0,2231,40,1
27,2,10,4,11,1,4,1,0,2231,40,1
90,4,9,4,8,1,2,1,0,2206,40,0
68,4,9,6,1,1,4,0,0,2206,30,0
65,4,9,0,1,4,4,0,0,2206,59,0
65,0,9,6,0,4,4,0,0,2206,10,0
67,4,13,0,4,1,4,0,0,2206,5,0
66,2,13,6,10,1,2,0,0,2206,25,0
24,4,10,4,1,1,4,1,0,2205,24,0
44,6,10,0,7,1,4,1,0,2205,35,0
35,4,10,4,1,3,4,0,0,2205,40,0
20,4,12,4,8,3,4,0,0,2205,18,0
38,4,9,0,3,1,4,1,0,2205,40,0
39,4,10,4,8,3,2,0,0,2205,40,0
32,4,10,4,7,2,4,0,0,2205,40,0
42,4,4,4,6,1,2,1,0,2205,40,0
63,0,9,0,0,1,4,0,0,2205,40,0
42,5,14,0,4,4,1,1,0,2201,60,1
64,4,7,2,3,0,4,1,0,2179,40,0
28,4,4,2,6,0,3,1,0,2179,40,0
41,5,11,2,12,0,3,1,0,2179,84,0
41,6,4,2,3,0,4,1,0,2179,40,0
58,6,2,2,14,0,4,1,0,2179,18,0
59,7,10,2,4,0,4,1,0,2179,40,0
34,6,9,2,5,5,4,0,0,2179,12,0
45,4,9,2,14,0,4,1,0,2179,45,0
29,4,9,2,1,5,4,0,0,2179,40,0
47,4,6,2,12,0,4,1,0,2179,52,0
40,4,10,2,7,0,4,1,0,2179,40,0
47,6,3,2,12,0,4,1,0,2179,50,0
63,0,13,2,0,0,4,1,0,2179,45,0
41,6,9,2,6,0,4,1,0,2179,40,0
34,4,10,2,14,0,2,1,0,2179,40,0
66,0,13,2,0,0,4,1,0,2174,40,1
65,6,10,2,4,0,4,1,0,2174,10,1
70,4,9,2,6,0,4,1,0,2174,40,1
75,6,15,2,10,0,4,1,0,2174,50,1
65,7,9,2,1,0,4,1,0,2174,40,1
65,1,10,2,4,0,2,1,0,2174,40,1
73,4,10,2,10,0,4,1,0,2174,50,1
60,0,13,2,0,0,1,1,0,2163,25,0
68,6,11,2,10,0,4,1,0,2149,40,0
74,6,9,2,12,0,4,1,0,2149,20,0
43,4,3,2,7,5,1,0,0,2129,72,0
19,6,7,2,3,3,4,1,0,2129,55,0
37,6,9,2,3,0,4,1,0,2129,40,0
45,1,12,0,1,4,1,1,0,2080,40,0
64,4,14,2,10,0,1,1,0,2057,60,0
30,4,9,2,14,0,4,1,0,2057,40,0
51,6,10,2,10,5,4,0,0,2057,60,0
35,4,7,2,3,0,4,1,0,2057,40,0
29,4,9,2,1,5,4,0,0,2057,20,0
34,4,10,2,1,5,4,0,0,2057,40,0
41,4,9,2,3,0,4,1,0,2051,60,0
35,4,10,2,3,0,4,1,0,2051,45,0
26,4,10,2,1,0,4,1,0,2051,40,0
54,4,9,2,14,0,4,1,0,2051,50,0
52,2,9,2,3,0,4,1,0,2051,40,0
50,6,9,2,5,0,4,1,0,2051,20,0
31,4,10,2,1,0,4,1,0,2051,40,0
38,1,9,2,14,0,4,1,0,2051,40,0
30,4,10,2,3,0,4,1,0,2051,40,0
34,2,13,2,10,0,4,1,0,2051,40,0
31,4,10,2,12,0,4,1,0,2051,57,0
52,4,9,2,7,0,4,1,0,2051,38,0
54,4,9,2,3,0,4,1,0,2051,40,0
38,4,9,2,3,0,4,1,0,2051,44,0
39,4,9,2,7,0,4,1,0,2051,40,0
29,4,11,2,13,0,4,1,0,2051,40,0
45,4,9,2,3,0,4,1,0,2051,40,0
34,4,9,2,14,0,4,1,0,2051,55,0
38,4,9,2,3,0,4,1,0,2051,40,0
39,4,6,2,3,0,4,1,0,2051,40,0
61,4,9,2,3,0,4,1,0,2051,20,0
43,4,7,2,14,0,4,1,0,2042,40,0
35,4,10,2,6,0,4,1,0,2042,40,0
46,4,10,2,12,0,4,1,0,2042,50,0
38,4,9,2,6,0,4,1,0,2042,40,0
42,6,9,2,3,0,4,1,0,2042,48,0
34,4,12,2,13,0,4,1,0,2042,10,0
29,4,4,2,5,0,4,1,0,2042,40,0
32,4,7,2,3,0,4,1,0,2042,30,0
60,4,9,2,11,0,4,1,0,2042,34,0
49,2,9,2,3,0,4,1,0,2002,40,0
53,2,9,2,8,0,4,1,0,2002,45,0
56,4,4,2,6,0,4,1,0,2002,40,0
48,4,7,2,14,0,4,1,0,2002,40,0
32,1,13,2,10,0,1,1,0,2002,40,0
42,6,9,2,3,0,4,1,0,2002,40,0
32,4,12,2,10,0,4,1,0,2002,42,0
28,2,12,2,11,0,4,1,0,2002,40,0
26,4,11,2,3,0,4,1,0,2002,40,0
59,4,13,2,4,0,4,1,0,2002,50,0
47,6,13,2,10,0,4,1,0,2002,30,0
26,0,13,2,0,0,4,1,0,2002,40,0
41,4,9,2,3,0,4,1,0,2002,60,0
36,4,9,2,3,3,4,0,0,2002,40,0
45,4,13,2,12,0,4,1,0,2002,55,0
30,4,12,2,10,0,4,1,0,2002,40,0
36,4,9,2,14,0,4,1,0,2002,40,0
34,5,9,2,4,0,4,1,0,2002,40,0
53,4,9,2,14,0,4,1,0,2002,40,0
51,4,9,2,12,0,4,1,0,2002,45,0
47,6,16,2,14,0,4,1,0,2002,45,0
19,0,9,4,0,4,4,1,0,2001,40,0
30,4,9,4,1,4,4,1,0,2001,42,0
20,4,9,4,8,4,4,1,0,2001,40,0
42,1,14,0,1,1,4,1,0,2001,60,0
31,4,7,4,3,1,4,1,0,2001,40,0
33,4,13,4,6,1,4,1,0,2001,40,0
25,4,12,4,13,1,4,0,0,2001,30,0
20,4,9,4,8,1,4,1,0,2001,40,0
23,4,9,4,1,3,2,1,0,2001,40,0
55,0,9,5,0,1,2,0,0,2001,40,0
41,6,10,0,3,1,4,1,0,2001,50,0
54,6,9,6,3,1,4,1,0,2001,35,0
25,4,9,4,3,1,4,1,0,2001,50,0
19,4,10,4,1,3,4,0,0,2001,40,0
24,4,9,4,1,1,4,0,0,2001,37,0
56,1,13,4,14,1,2,1,0,2001,65,0
21,2,10,4,8,1,4,0,0,2001,40,0
34,4,9,4,7,1,2,1,0,2001,40,0
19,4,9,4,1,3,4,1,0,2001,40,0
21,0,10,4,0,1,4,1,0,2001,45,0
48,4,9,5,1,1,4,0,0,2001,40,0
34,4,13,4,8,1,4,1,0,2001,40,0
31,4,9,4,5,1,4,1,0,2001,40,0
36,4,9,4,8,1,2,0,0,2001,40,0
27,4,9,4,8,1,4,1,0,1980,40,0
27,4,10,4,3,3,1,1,0,1980,40,0
35,4,13,0,12,1,4,0,0,1980,65,0
31,6,13,3,4,1,4,1,0,1980,60,0
27,1,9,4,3,1,2,1,0,1980,40,0
28,2,12,4,1,1,4,0,0,1980,40,0
42,4,9,0,14,1,4,1,0,1980,46,0
44,4,10,5,4,1,4,1,0,1980,45,0
41,4,13,0,12,1,4,1,0,1980,56,0
28,4,13,4,13,1,4,0,0,1980,35,0
41,1,9,4,1,1,4,0,0,1980,40,0
35,4,6,6,8,1,2,0,0,1980,40,0
58,4,14,0,1,1,4,0,0,1980,45,0
40,4,9,0,7,1,4,1,0,1980,48,0
31,4,11,4,14,3,4,1,0,1980,60,0
30,4,9,4,12,1,4,0,0,1980,40,0
32,4,10,5,13,1,0,1,0,1980,40,0
25,4,10,4,1,1,4,1,0,1980,40,0
34,4,9,4,14,3,4,1,0,1980,40,0
56,4,10,0,4,1,4,0,0,1980,40,0
45,4,9,0,8,1,4,1,0,1980,40,0
50,4,9,4,1,1,4,1,0,1980,40,0
27,4,6,4,12,2,4,1,0,1980,40,0
51,4,10,2,12,0,4,1,0,1977,40,1
40,4,12,2,13,0,4,1,0,1977,60,1
41,4,14,2,4,0,4,1,0,1977,65,1
49,4,14,2,4,0,4,1,0,1977,45,1
37,4,11,2,3,0,4,1,0,1977,40,1
36,5,13,2,4,5,4,0,0,1977,45,1
35,4,15,2,10,0,4,1,0,1977,80,1
29,5,9,2,12,5,4,0,0,1977,25,1
50,4,13,2,10,5,4,0,0,1977,40,1
46,4,13,2,12,0,4,1,0,1977,40,1
44,6,9,2,4,0,4,1,0,1977,45,1
42,2,14,2,4,0,4,1,0,1977,40,1
38,1,15,2,10,0,4,1,0,1977,50,1
45,4,13,2,4,0,4,1,0,1977,55,1
43,2,14,2,4,0,4,1,0,1977,60,1
47,5,15,2,10,0,4,1,0,1977,60,1
58,5,15,2,10,0,4,1,0,1977,50,1
48,4,15,2,13,0,4,1,0,1977,40,1
42,2,13,2,4,0,4,1,0,1977,48,1
55,4,14,2,4,0,4,1,0,1977,50,1
51,4,6,2,12,0,4,1,0,1977,40,1
32,4,14,2,4,0,2,1,0,1977,40,1
45,2,13,2,4,0,4,1,0,1977,50,1
56,4,14,2,3,0,4,1,0,1977,44,1
38,4,14,2,4,0,4,1,0,1977,60,1
45,4,11,2,12,0,4,1,0,1977,50,1
49,4,14,2,10,5,4,0,0,1977,40,1
36,4,9,2,10,0,4,1,0,1977,40,1
49,4,14,2,4,0,4,1,0,1977,40,1
30,4,16,2,10,0,1,1,0,1977,40,1
42,5,15,2,10,0,4,1,0,1977,50,1
55,4,14,2,4,0,4,1,0,1977,40,1
34,4,13,2,4,0,4,1,0,1977,45,1
54,4,16,2,10,0,4,1,0,1977,50,1
42,6,13,2,4,0,4,1,0,1977,70,1
25,2,13,2,10,0,4,1,0,1977,40,1
55,5,9,2,4,0,4,1,0,1977,45,1
58,7,14,2,10,0,4,1,0,1977,50,1
62,4,9,2,14,0,4,1,0,1977,60,1
43,5,15,2,10,0,4,1,0,1977,40,1
57,2,14,2,10,5,2,0,0,1977,40,1
42,5,16,2,10,0,4,1,0,1977,60,1
63,6,13,2,10,0,1,1,0,1977,32,1
47,6,15,2,10,0,4,1,0,1977,50,1
37,4,13,2,4,0,4,1,0,1977,50,1
40,4,13,2,12,0,4,1,0,1977,60,1
43,4,13,2,10,0,4,1,0,1977,50,1
43,7,15,2,10,0,4,1,0,1977,70,1
41,6,15,2,10,0,4,1,0,1977,60,1
32,4,15,2,10,0,4,1,0,1977,60,1
47,4,13,2,12,0,4,1,0,1977,40,1
39,1,10,2,6,0,4,1,0,1977,60,1
53,4,10,2,4,0,4,1,0,1977,40,1
34,4,13,2,4,0,4,1,0,1977,45,1
36,4,13,2,4,0,4,1,0,1977,40,1
47,2,14,2,4,0,4,1,0,1977,41,1
52,4,11,2,4,0,4,1,0,1977,45,1
40,6,15,2,10,0,0,1,0,1977,60,1
42,5,13,2,10,0,4,1,0,1977,40,1
51,4,14,2,11,0,4,1,0,1977,40,1
55,4,14,2,13,0,4,1,0,1977,20,1
38,4,9,2,12,0,4,1,0,1977,99,1
52,4,10,2,4,0,4,1,0,1977,50,1
60,1,9,2,13,0,4,1,0,1977,40,1
55,4,11,2,10,0,4,1,0,1977,50,1
47,2,14,2,4,0,2,1,0,1977,50,1
46,4,14,2,13,0,4,1,0,1977,40,1
35,4,14,2,10,0,4,1,0,1977,45,1
59,5,13,2,4,0,4,1,0,1977,50,1
57,4,14,2,10,0,4,1,0,1977,45,1
46,4,10,2,10,0,4,1,0,1977,50,1
46,1,14,2,4,0,4,1,0,1977,40,1
52,4,9,2,3,0,4,1,0,1977,40,1
45,4,16,2,10,5,4,0,0,1977,30,1
37,4,13,2,13,0,4,1,0,1977,40,1
46,4,14,2,4,0,4,1,0,1977,45,1
44,4,13,2,10,0,2,1,0,1977,50,1
45,4,11,2,4,0,4,1,0,1977,50,1
43,4,9,2,7,0,4,1,0,1977,52,1
54,2,14,2,10,0,4,1,0,1977,40,1
50,4,14,2,10,0,4,1,0,1977,40,1
51,4,13,2,4,0,4,1,0,1977,60,1
45,4,13,2,10,0,4,1,0,1977,40,1
36,4,14,2,10,0,4,1,0,1977,60,1
27,4,13,2,4,0,4,1,0,1977,50,1
36,4,13,2,12,0,4,1,0,1977,35,1
53,4,14,2,4,0,4,1,0,1977,55,1
51,2,14,2,10,0,4,1,0,1977,35,1
28,4,13,2,10,5,4,0,0,1977,24,1
47,6,10,2,3,0,4,1,0,1977,40,1
45,4,13,2,4,0,4,1,0,1977,60,1
45,2,14,2,10,5,4,0,0,1977,35,1
39,6,15,2,10,0,4,1,0,1977,50,1
39,4,13,2,4,0,4,1,0,1977,40,1
55,6,14,2,10,0,4,1,0,1977,40,1
62,4,10,2,4,0,4,1,0,1977,98,1
49,4,13,2,12,0,1,1,0,1977,50,1
53,6,14,2,4,0,4,1,0,1977,40,1
31,4,14,2,4,0,4,1,0,1977,48,1
42,5,9,2,4,0,4,1,0,1977,60,1
39,4,13,2,14,0,4,1,0,1977,45,1
60,6,13,2,4,0,4,1,0,1977,45,1
26,4,15,2,10,0,4,1,0,1977,40,1
37,4,14,2,4,0,4,1,0,1977,40,1
45,7,13,2,4,0,4,1,0,1977,60,1
37,4,12,2,12,0,4,1,0,1977,45,1
32,4,13,2,12,0,4,1,0,1977,45,1
39,5,9,2,4,0,4,1,0,1977,40,1
58,6,6,2,3,5,4,0,0,1977,35,1
45,4,14,2,4,0,4,1,0,1977,43,1
41,4,13,2,10,0,4,1,0,1977,45,1
36,6,9,2,5,0,4,1,0,1977,65,1
51,7,14,2,10,0,4,1,0,1977,60,1
39,4,10,2,4,0,4,1,0,1977,62,1
56,6,15,2,10,0,4,1,0,1977,50,1
53,1,9,2,1,0,2,1,0,1977,40,1
40,6,11,2,10,5,4,0,0,1977,15,1
57,4,14,2,4,0,2,1,0,1977,40,1
50,2,9,2,3,0,4,1,0,1977,35,1
34,4,15,2,10,0,4,1,0,1977,55,1
35,4,13,2,4,5,4,0,0,1977,30,1
30,6,9,2,10,0,4,1,0,1977,15,1
53,2,14,2,10,0,4,1,0,1977,55,1
31,7,16,2,10,0,4,1,0,1977,70,1
37,4,13,2,4,0,4,1,0,1977,60,1
34,4,13,2,12,0,4,1,0,1977,50,1
36,4,14,2,10,0,4,1,0,1977,50,1
40,4,13,2,4,0,4,1,0,1977,50,1
51,4,10,2,3,0,4,1,0,1977,60,1
33,4,9,2,12,0,4,1,0,1977,45,1
40,4,16,2,10,5,4,0,0,1977,20,1
50,5,4,2,3,0,4,1,0,1977,63,1
46,5,14,2,12,0,4,1,0,1977,60,1
54,4,16,2,4,0,4,1,0,1977,50,1
39,4,14,2,10,5,4,0,0,1977,24,1
54,5,10,2,12,0,4,1,0,1977,40,1
31,4,16,2,10,0,4,1,0,1977,99,1
51,4,14,2,4,0,4,1,0,1977,50,1
55,4,16,2,10,0,4,1,0,1977,55,1
36,4,14,2,1,0,4,1,0,1977,40,1
41,5,13,2,4,0,1,1,0,1977,60,1
56,6,10,2,4,5,4,0,0,1977,50,1
38,4,13,2,13,0,4,1,0,1977,40,1
47,4,9,2,3,0,4,1,0,1977,45,1
39,2,14,2,10,0,4,1,0,1977,45,1
59,4,13,2,4,0,4,1,0,1977,50,1
54,4,16,2,4,0,4,1,0,1977,43,1
54,6,13,2,4,5,4,0,0,1977,35,1
31,4,13,2,4,0,4,1,0,1977,55,1
59,5,10,2,4,0,4,1,0,1977,48,1
46,4,14,2,10,0,4,1,0,1977,50,1
57,4,16,2,13,0,4,1,0,1977,40,1
36,4,14,2,10,5,4,0,0,1977,44,1
44,4,13,2,7,0,4,1,0,1977,40,1
33,4,15,2,10,0,4,1,0,1977,50,1
54,4,10,2,13,0,4,1,0,1977,18,1
55,4,14,2,4,0,4,1,0,1977,60,1
36,4,14,2,12,0,4,1,0,1977,50,1
49,2,15,2,10,5,4,0,0,1977,60,1
41,4,15,2,10,0,4,1,0,1977,50,1
40,4,16,2,10,0,1,1,0,1977,45,1
43,4,13,2,4,0,4,1,0,1977,50,1
39,2,14,2,10,5,4,0,0,1977,20,1
26,0,13,2,0,5,4,0,0,1977,40,1
48,4,15,2,10,0,4,1,0,1977,45,1
43,4,13,2,4,0,4,1,0,1977,50,1
42,5,13,2,4,0,4,1,0,1977,60,1
36,4,13,2,10,0,4,1,0,1977,45,1
39,4,14,4,4,1,4,1,0,1974,40,0
21,4,10,4,10,3,1,1,0,1974,40,0
23,4,10,4,12,1,4,0,0,1974,40,0
47,4,9,0,4,1,4,0,0,1974,40,0
30,4,9,4,1,2,4,0,0,1974,40,0
35,4,10,4,7,1,4,1,0,1974,40,0
26,4,10,4,1,1,4,0,0,1974,40,0
26,4,13,4,4,1,4,1,0,1974,55,0
41,2,14,0,10,1,4,1,0,1974,40,0
30,2,10,4,11,1,2,1,0,1974,40,0
28,4,9,5,3,1,4,1,0,1974,40,0
56,4,9,6,12,1,4,0,0,1974,40,0
35,4,9,4,7,3,4,1,0,1974,40,0
34,4,11,4,13,1,4,0,0,1974,40,0
29,4,9,4,3,1,4,1,0,1974,35,0
23,4,12,4,1,3,4,0,0,1974,20,0
24,1,9,4,1,1,4,0,0,1974,40,0
62,4,10,0,1,1,4,1,0,1974,40,0
77,6,10,6,1,1,4,0,0,1944,1,0
47,4,15,2,10,5,4,0,0,1902,60,1
48,6,16,2,10,0,4,1,0,1902,60,1
42,6,15,2,10,0,4,1,0,1902,50,1
31,4,14,2,13,0,4,1,0,1902,40,1
43,4,13,2,4,0,4,1,0,1902,40,1
50,4,16,2,10,0,4,1,0,1902,65,1
36,4,13,2,10,0,4,1,0,1902,50,1
49,2,14,2,10,0,4,1,0,1902,40,1
38,4,9,2,3,0,4,1,0,1902,40,1
48,7,16,2,10,5,4,0,0,1902,46,1
46,4,13,2,10,0,4,1,0,1902,40,1
56,6,9,2,8,0,4,1,0,1902,60,1
37,4,9,2,4,0,4,1,0,1902,45,1
51,4,9,2,7,0,2,1,0,1902,40,1
43,4,14,2,4,0,4,1,0,1902,40,1
46,2,9,2,3,0,4,1,0,1902,40,0
42,2,14,2,4,0,4,1,0,1902,60,1
45,4,10,2,1,5,4,0,0,1902,35,1
23,4,10,2,7,0,4,1,0,1902,40,0
45,4,13,2,12,0,4,1,0,1902,40,1
30,7,9,2,1,0,4,1,0,1902,40,0
